,PARTICIPANT_ID,Y1_LOGISTIC,Y1_NAIVEBAYES,Y2_REGRESSION
0,0,0.0,1.0,4:22:09
1,1,0.0,0.0,4:16:59
2,2,0.0,0.0,4:47:28
3,3,0.0,1.0,4:05:16
4,4,0.0,0.0,4:24:36
5,5,1.0,1.0,4:35:43
6,6,0.0,0.0,4:40:26
7,7,0.0,1.0,4:30:37
8,8,0.0,1.0,4:15:29
9,9,0.0,1.0,4:40:19
10,10,0.0,1.0,4:16:48
11,11,1.0,1.0,4:19:25
12,12,0.0,0.0,4:19:18
13,13,0.0,0.0,4:36:53
14,14,0.0,0.0,4:14:14
15,15,0.0,1.0,4:53:36
16,16,0.0,0.0,4:36:30
17,17,0.0,0.0,4:39:58
18,18,0.0,0.0,4:37:07
19,19,1.0,1.0,4:30:21
20,20,0.0,1.0,4:11:52
21,21,0.0,0.0,5:00:31
22,22,0.0,0.0,4:39:02
23,23,0.0,0.0,5:51:25
24,24,0.0,1.0,5:07:28
25,25,0.0,0.0,3:57:08
26,26,0.0,1.0,4:23:31
27,27,0.0,1.0,4:48:17
28,28,1.0,1.0,5:10:17
29,29,0.0,0.0,4:27:07
30,30,1.0,1.0,4:27:03
31,31,0.0,1.0,4:51:01
32,32,1.0,1.0,4:10:33
33,33,0.0,0.0,4:16:02
34,34,1.0,0.0,5:04:58
35,35,1.0,1.0,4:35:47
36,36,0.0,1.0,4:44:02
37,37,0.0,1.0,4:39:47
38,38,1.0,0.0,4:58:15
39,39,0.0,1.0,4:51:42
40,40,0.0,0.0,4:26:15
41,41,1.0,1.0,4:43:56
42,42,0.0,0.0,5:13:46
43,43,0.0,0.0,4:03:47
44,44,0.0,0.0,4:22:21
45,45,0.0,1.0,4:40:21
46,46,0.0,0.0,5:36:24
47,47,0.0,1.0,4:08:10
48,48,0.0,0.0,4:13:00
49,49,0.0,1.0,4:56:27
50,50,0.0,1.0,4:15:32
51,51,0.0,1.0,4:29:50
52,52,0.0,0.0,4:29:28
53,53,0.0,0.0,4:26:03
54,54,0.0,1.0,4:00:29
55,55,0.0,0.0,4:43:27
56,56,0.0,0.0,4:50:46
57,57,0.0,1.0,5:11:50
58,58,0.0,0.0,4:38:26
59,59,0.0,0.0,4:27:30
60,60,1.0,1.0,4:21:28
61,61,0.0,0.0,4:36:27
62,62,0.0,1.0,4:00:32
63,63,0.0,1.0,4:06:28
64,64,0.0,0.0,4:44:08
65,65,0.0,0.0,4:39:47
66,66,0.0,0.0,4:25:09
67,67,0.0,1.0,4:55:52
68,68,0.0,0.0,4:24:10
69,69,0.0,1.0,4:53:33
70,70,1.0,1.0,4:31:34
71,71,0.0,1.0,3:29:27
72,72,1.0,1.0,4:28:34
73,73,1.0,1.0,4:40:41
74,74,0.0,1.0,4:40:07
75,75,0.0,1.0,4:40:52
76,76,0.0,0.0,4:00:42
77,77,1.0,1.0,4:27:22
78,78,0.0,1.0,5:00:58
79,79,0.0,1.0,4:28:59
80,80,0.0,1.0,4:18:17
81,81,0.0,0.0,4:35:22
82,82,0.0,0.0,4:31:45
83,83,0.0,1.0,4:45:51
84,84,0.0,0.0,5:01:13
85,85,0.0,0.0,4:37:51
86,86,0.0,0.0,4:43:36
87,87,1.0,1.0,5:22:02
88,88,1.0,1.0,4:45:57
89,89,0.0,1.0,4:21:33
90,90,0.0,1.0,4:39:14
91,91,0.0,0.0,4:33:05
92,92,0.0,0.0,3:48:19
93,93,0.0,1.0,4:36:15
94,94,0.0,0.0,4:35:09
